id,name,adm1_code,2020,2015,2010,2005,2000,1995
1,Alabama,USA-3541,796,629,488,396,204,75
2,Alaska,USA-3563,0,0,0,0,0,0
3,Arizona,USA-3520,121,87,54,29,0,0
4,Arkansas,USA-3528,452,344,246,207,151,68
5,California,USA-3521,226,142,0,0,0,0
6,Colorado,USA-3522,51,32,22,0,0,0
7,Connecticut,USA-3537,64,26,0,0,0,0
8,Delaware,USA-3555,47,37,25,24,12,10
9,Florida,USA-3542,900,710,456,425,243,152
10,Georgia,USA-3543,915,675,502,429,220,91
11,Hawaii,USA-3517,0,0,0,0,0,0
12,Idaho,USA-3518,0,0,0,0,0,0
13,Illinois,USA-3546,578,421,330,297,203,120
14,Indiana,USA-3547,566,416,336,274,199,120
15,Iowa,USA-3529,264,182,170,164,90,51
16,Kansas,USA-3530,247,204,162,147,103,44
17,Kentucky,USA-3548,565,436,330,269,205,150
18,Louisiana,USA-3535,574,472,353,294,146,78
19,Maine,USA-3561,58,2,0,0,0,0
20,Maryland,USA-3557,140,105,65,65,44,31
21,Massachusetts,USA-3513,50,18,0,0,0,0
22,Michigan,USA-3562,574,341,250,175,0,0
23,Minnesota,USA-3514,163,48,16,0,0,0
24,Mississippi,USA-3544,538,389,286,226,123,61
25,Missouri,USA-3531,547,412,336,302,209,138
26,Montana,USA-3515,0,0,0,0,0,0
27,Nebraska,USA-3532,128,91,80,84,30,12
28,Nevada,USA-3523,22,24,0,0,0,0
29,New Hampshire,USA-3538,40,14,0,0,0,0
30,New Jersey,USA-3558,148,83,34,24,0,0
31,New Mexico,USA-3524,99,76,45,24,0,0
32,New York,USA-3559,495,309,238,200,0,0
33,North Carolina,USA-3549,870,633,510,420,217,70
34,North Dakota,USA-3516,42,0,0,0,0,0
35,Ohio,USA-3550,858,643,486,388,226,100
36,Oklahoma,USA-3533,461,373,289,252,192,67
37,Oregon,USA-3525,57,2,0,0,0,0
38,Pennsylvania,USA-3560,781,520,409,388,198,77
39,Rhode Island,USA-3539,20,2,0,0,0,0
40,South Carolina,USA-3545,564,437,353,274,140,45
41,South Dakota,USA-3534,55,20,12,0,0,0
42,Tennessee,USA-3551,815,613,455,367,274,167
43,Texas,USA-3536,1552,1246,1016,905,578,160
44,Utah,USA-3526,11,7,9,0,0,0
45,Vermont,USA-3540,37,26,8,0,0,0
46,Virginia,USA-3552,435,321,256,250,191,109
47,Washington,USA-3519,0,0,0,0,0,0
48,West Virginia,USA-3554,249,189,161,140,96,63
49,Wisconsin,USA-3553,192,122,89,55,0,0
50,Wyoming,USA-3527,1,0,0,0,0,0
