GEO_ID,State,County,Low-Income Households,Car-Free Households,Diabetes,Obese,Combined Score
01001, Alabama,Autauga,12.0,3.4,13.0,34.0,13.4
01003, Alabama,Baldwin,5.4,1.9,10.4,27.0,7.8
01005, Alabama,Barbour,10.7,4.3,18.4,44.0,14.2
01007, Alabama,Bibb,2.6,2.8,14.8,40.0,7.6
01009, Alabama,Blount,2.9,3.3,14.1,35.0,7.2
01011, Alabama,Bullock,19.7,11.1,19.6,43.0,21.2
01013, Alabama,Butler,2.9,3.8,17.7,36.0,7.8
01015, Alabama,Calhoun,9.2,2.6,14.9,32.0,11.4
01017, Alabama,Chambers,10.3,5.2,16.4,40.0,13.4
01019, Alabama,Cherokee,0.2,2.8,13.3,34.0,5.1
01021, Alabama,Chilton,1.5,3.9,13.3,36.0,6.3
01023, Alabama,Choctaw,7.3,7.2,18.1,41.0,11.7
01025, Alabama,Clarke,11.2,9.1,16.3,38.0,14.2
01027, Alabama,Clay,2.3,3.4,14.6,37.0,7.2
01029, Alabama,Cleburne,2.1,3.6,12.6,30.0,6.1
01031, Alabama,Coffee,6.0,2.7,15.9,34.0,9.4
01033, Alabama,Colbert,6.6,3.0,18.7,38.0,10.5
01035, Alabama,Conecuh,13.2,5.8,17.4,36.0,15.2
01037, Alabama,Coosa,10.1,5.8,17.3,40.0,13.4
01039, Alabama,Covington,4.4,3.3,14.7,34.0,8.3
01041, Alabama,Crenshaw,17.0,4.4,16.5,40.0,18.0
01043, Alabama,Cullman,3.1,3.3,14.4,33.0,7.3
01045, Alabama,Dale,10.6,3.1,14.1,37.0,12.8
01047, Alabama,Dallas,11.6,5.8,19.0,41.0,14.6
01049, Alabama,DeKalb,2.2,2.8,13.4,30.0,6.2
01051, Alabama,Elmore,6.9,3.5,13.4,35.0,10.1
01053, Alabama,Escambia,7.2,4.0,17.8,38.0,11.0
01055, Alabama,Etowah,9.4,3.2,16.8,35.0,12.1
01057, Alabama,Fayette,1.4,6.3,15.1,34.0,6.5
01059, Alabama,Franklin,4.1,3.7,13.9,33.0,8.0
01061, Alabama,Geneva,0.9,2.3,13.9,34.0,5.7
01063, Alabama,Greene,21.3,8.3,21.0,46.0,22.5
01065, Alabama,Hale,4.6,9.6,16.0,40.0,9.9
01067, Alabama,Henry,2.1,4.5,18.7,36.0,7.4
01069, Alabama,Houston,6.3,2.2,13.7,33.0,9.3
01071, Alabama,Jackson,3.3,3.5,14.9,32.0,7.3
01073, Alabama,Jefferson,12.3,2.7,13.0,33.0,13.5
01075, Alabama,Lamar,0.8,3.9,14.9,34.0,5.8
01077, Alabama,Lauderdale,5.0,3.2,14.2,33.0,8.6
01079, Alabama,Lawrence,2.1,3.5,15.6,36.0,6.9
01081, Alabama,Lee,12.2,2.3,9.5,29.0,12.7
01083, Alabama,Limestone,3.5,2.7,12.6,33.0,7.3
01085, Alabama,Lowndes,13.1,10.5,23.5,45.0,17.1
01087, Alabama,Macon,21.6,10.5,18.4,45.0,22.5
01089, Alabama,Madison,7.5,1.7,11.5,32.0,9.8
01091, Alabama,Marengo,12.6,6.7,20.2,40.0,15.6
01093, Alabama,Marion,3.3,4.2,18.7,36.0,8.1
01095, Alabama,Marshall,5.2,3.2,12.8,33.0,8.5
01097, Alabama,Mobile,10.3,2.0,15.6,37.0,12.7
01099, Alabama,Monroe,12.8,9.0,17.8,35.0,15.2
01101, Alabama,Montgomery,14.6,3.1,13.5,35.0,15.3
01103, Alabama,Morgan,4.1,2.1,12.6,32.0,7.5
01105, Alabama,Perry,4.9,8.9,21.7,43.0,10.8
01107, Alabama,Pickens,0.9,6.0,16.4,36.0,6.5
01109, Alabama,Pike,6.3,4.3,13.5,38.0,10.0
01111, Alabama,Randolph,6.8,5.0,14.9,31.0,9.9
01113, Alabama,Russell,5.5,2.8,12.9,36.0,9.1
01115, Alabama,St. Clair,1.6,2.2,12.8,33.0,5.9
01117, Alabama,Shelby,4.3,1.8,8.7,30.0,7.1
01119, Alabama,Sumter,10.4,10.5,20.1,40.0,14.4
01121, Alabama,Talladega,5.9,3.9,15.3,39.0,9.9
01123, Alabama,Tallapoosa,4.3,6.3,13.7,37.0,8.7
01125, Alabama,Tuscaloosa,6.5,1.9,12.3,34.0,9.4
01127, Alabama,Walker,5.2,4.5,16.7,33.0,9.1
01129, Alabama,Washington,3.6,4.1,17.8,40.0,8.7
01131, Alabama,Wilcox,30.5,13.3,19.3,45.0,29.1
01133, Alabama,Winston,2.7,4.0,13.2,30.0,6.6
02013, Alaska,Aleutians East,34.9,21.9,7.6,33.0,30.8
02016, Alaska,Aleutians West,8.6,11.5,6.2,39.0,11.7
02020, Alaska,Anchorage,5.1,0.9,7.0,27.0,7.1
02050, Alaska,Bethel,42.0,53.5,5.8,30.0,38.4
02060, Alaska,Bristol Bay,17.7,9.8,8.5,40.0,18.2
02068, Alaska,Denali,22.9,0.4,5.8,27.0,19.4
02070, Alaska,Dillingham,32.2,34.6,7.2,38.0,30.5
02090, Alaska,Fairbanks North Star,7.3,2.2,5.5,28.0,8.7
02100, Alaska,Haines,7.4,2.7,7.9,26.0,8.8
02105, Alaska,Hoonah-Angoon,38.8,28.7,7.3,0.0,30.7
02110, Alaska,Juneau,5.9,2.7,5.9,29.0,7.9
02122, Alaska,Kenai Peninsula,5.8,3.9,7.2,28.0,8.0
02130, Alaska,Ketchikan Gateway,1.6,0.9,8.9,31.0,5.2
02150, Alaska,Kodiak Island,4.6,2.1,6.6,30.0,7.1
02158, Alaska,Lake and Peninsula,43.5,49.2,7.4,32.0,39.3
02164, Alaska,Matanuska-Susitna,7.6,2.3,8.2,30.0,9.4
02170, Alaska,Nome,38.1,46.0,6.0,32.0,35.0
02180, Alaska,North Slope,13.2,28.8,6.5,37.0,16.4
02185, Alaska,Northwest Arctic,34.1,43.2,6.5,32.0,32.1
02188, Alaska,Petersburg,0.7,1.4,7.1,0.0,1.3
02195, Alaska,Prince of Wales-Hyder,14.8,12.5,7.3,0.0,12.3
02198, Alaska,Sitka,4.1,3.4,6.7,29.0,6.8
02220, Alaska,Skagway,0.1,0.6,6.4,0.0,0.7
02230, Alaska,Southeast Fairbanks,18.8,7.4,6.9,33.0,17.9
02240, Alaska,Valdez-Cordova,15.3,4.6,7.4,30.0,14.9
02261, Alaska,Wade Hampton,41.8,60.6,4.6,0.0,35.8
02275, Alaska,Wrangell,6.6,1.9,8.9,0.0,5.7
02282, Alaska,Yakutat,25.4,9.8,7.9,31.0,22.6
02290, Alaska,Yukon-Koyukuk,49.7,50.4,8.3,28.0,43.5
04001, Arizona,Apache,47.4,11.2,14.4,31.0,38.8
04003, Arizona,Cochise,14.5,2.9,10.3,23.0,13.8
04005, Arizona,Coconino,13.8,3.2,7.6,20.0,12.8
04007, Arizona,Gila,15.8,4.3,11.2,24.0,15.0
04009, Arizona,Graham,19.0,4.1,10.3,28.0,17.6
04011, Arizona,Greenlee,30.5,4.1,10.7,29.0,25.8
04012, Arizona,La Paz,19.0,5.6,14.8,27.0,18.0
04013, Arizona,Maricopa,4.4,1.0,9.0,24.0,6.5
04015, Arizona,Mohave,20.0,3.1,12.8,27.0,18.3
04017, Arizona,Navajo,25.0,7.5,13.1,27.0,22.3
04019, Arizona,Pima,7.7,1.3,8.8,22.0,8.6
04021, Arizona,Pinal,7.2,2.4,12.3,29.0,9.4
04023, Arizona,Santa Cruz,12.8,1.9,8.0,19.0,11.8
04025, Arizona,Yavapai,12.6,2.3,10.5,23.0,12.4
04027, Arizona,Yuma,9.6,1.3,12.6,27.0,10.8
05001, Arkansas,Arkansas,17.8,4.6,12.9,34.0,17.6
05003, Arkansas,Ashley,12.0,3.2,14.5,42.0,14.4
05005, Arkansas,Baxter,4.4,2.6,16.0,32.0,8.2
05007, Arkansas,Benton,5.3,1.2,9.6,30.0,7.8
05009, Arkansas,Boone,10.4,2.7,12.4,34.0,12.1
05011, Arkansas,Bradley,5.2,3.5,13.1,39.0,9.2
05013, Arkansas,Calhoun,32.6,6.2,13.7,34.0,28.2
