[,latitude,longitude,]
[,37.7549288,-81.9729423,]
[,37.9799,-88.32661,]
[,34.60566,-79.70215,]
[,37.71256,-91.13345,]
[,34.4397369,-88.1326612,]
[,41.53637,-75.93657,]
[,34.58405,-86.98041,]
[,30.68694,-88.20962,]
[,36.75079,-83.04368,]
[,37.6495,-77.39883,]
[,32.85839,-97.58377,]
[,39.17104,-76.63165,]
[,36.74441,-76.24394,]
[,36.24509,-79.98975,]
[,30.21071,-92.04421,]
[,35.30116,-95.70285,]
[,34.03204,-81.08757,]
[,36.06441,-79.61208,]
[,33.87187,-98.54857,]
[,32.72779,-79.94912,]
[,39.57806,-84.31189,]
[,32.7712972,-89.1926177,]
[,44.5028,-89.56558,]
[,31.29603,-92.52738,]
[,36.2693,-94.13627,]
[,38.55478,-76.05391,]
[,39.30462,-75.60904,]
[,30.20532,-98.12269,]
[,41.62955,-86.21864,]
[,34.23154,-95.61804,]
[,32.26852,-107.74412,]
[,36.65534,-80.93636,]
[,39.20137,-94.49548,]
[,35.50983,-97.94511,]
[,37.79153,-82.34912,]
[,44.849772,-74.2826535,]
[,40.24028,-76.80572,]
[,39.15226,-76.51979,]
[,39.87154,-76.22578,]
[,37.79654,-80.45116,]
[,38.31807,-80.63842,]
[,39.36115,-78.72692,]
[,36.51382,-82.76469,]
[,33.83359,-88.56531,]
[,30.813,-92.66563,]
[,31.87469,-90.40456,]
[,36.60039,-92.43182,]
[,35.71041,-89.08769,]
[,33.50774,-89.96352,]
[,36.6288,-90.82605,]
[,38.08608,-78.88584,]
[,29.6345475,-83.1250123,]
[,30.67057,-87.90736,]
[,34.84041,-98.37047,]
[,34.872103,-83.400005,]
[,36.25218,-91.62051,]
[,35.5922831,-92.4590007,]
[,29.484486,-98.352684,]
[,37.04081614,-76.4579972,]
[,38.30596,-77.48038,]
[,40.04436,-75.08616,]
[,40.32835,-76.86799,]
[,37.05835,-78.94579,]
[,31.75247,-81.746,]
[,36.51452,-87.29826,]
[,37.15377,-82.44935,]
[,37.27488,-81.69493,]
[,34.07497641,-86.78025836,]
[,34.21539,-80.9799,]
[,37.59526,-81.82931,]
[,37.57785,-77.39568,]
[,43.26358,-82.64053,]
[,41.06509,-85.00114,]
[,40.33145,-76.79168,]
[,35.39174,-97.72135,]
[,39.77957,-94.80304,]
[,38.91878,-75.4399,]
[,31.58579,-97.07859,]
[,36.74294,-76.58345,]
[,38.53909,-84.83675,]
[,36.2794,-95.84566,]
[,36.1346,-88.98795,]
[,39.20308,-94.54862,]
[,41.43451,-81.52631,]
[,36.96104,-92.66022,]
[,30.20355903,-93.19080895,]
[,38.71278,-76.98882,]
[,39.33851,-76.48806,]
[,36.6952255,-85.1374498,]
[,35.07763,-85.06027,]
[,32.02761,-82.15021,]
[,35.5635,-92.15978,]
[,34.87299,-85.04352,]
[,35.74249,-86.89328,]
[,37.15561,-82.62919,]
[,30.09679,-97.87672,]
[,32.91755035,-96.46074147,]
[,39.48993,-78.75326,]
[,37.36995,-78.78866,]
[,40.72951,-77.25878,]
[,38.72574,-79.97337,]
[,39.39226,-80.30541,]
[,41.04586,-75.29338,]
[,40.87649,-88.62208,]
[,36.6471,-83.33704,]
[,36.11479,-94.67093,]
[,39.31047,-90.39939,]
[,37.73336,-80.65141,]
[,39.40677,-79.00757,]
[,31.34923,-93.83704,]
[,39.04031,-86.72818,]
[,40.91679,-75.42181,]
[,39.28775,-78.47352,]
[,37.4125,-81.7844,]
[,31.10409,-97.7496,]
[,34.24611,-88.71719,]
[,35.9175,-78.46678,]
[,37.47157722,-86.29421567,]
[,30.94041,-95.37505,]
[,39.24217,-94.44128,]
[,34.59664,-98.33473,]
[,29.78687,-95.12477,]
[,33.74506,-81.09901,]
[,38.0854,-88.43112,]
[,31.78316,-85.9649,]
[,35.52236,-97.59934,]
[,30.54234,-87.70842,]
[,37.84726,-81.99153,]
[,35.80478,-80.87638,]
[,37.90815,-76.86324,]
[,34.36251,-89.50906,]
[,38.87285,-82.99546,]
[,27.87834,-97.32337,]
[,29.97487,-98.90398,]
[,36.94731,-79.36279,]
[,36.62019,-78.56705,]
[,41.36666,-85.07195,]
[,35.34637,-96.9345,]
[,29.99997,-95.26522,]
[,38.33399,-91.52461,]
[,40.44683,-84.9756,]
[,35.99271,-79.95358,]
[,39.31551,-77.63792,]
[,40.11293,-88.28093,]
[,43.17194147,-88.10795868,]
[,36.11407,-79.77541,]
[,33.20432,-84.28175,]
[,41.85941,-90.20892,]
[,32.09696,-90.30531,]
[,34.4603,-85.70876,]
[,41.77352,-89.68942,]
[,36.82914,-82.46454,]
[,32.70002,-93.74003,]
[,45.92382,-90.45141,]
[,34.7927,-79.45801,]
[,30.67011,-88.28314,]
[,35.20901,-80.67406,]
[,40.49998,-81.63657,]
[,34.97042,-81.95302,]
[,30.32322,-81.53495,]
[,41.42959,-84.88927,]
[,34.35408,-84.37885,]
[,30.22957,-93.35946,]
[,32.55679,-93.61314,]
[,36.24263,-80.2762,]
[,36.68768,-78.89726,]
[,37.25499,-83.1983,]
[,31.33474,-85.85059,]
[,44.89214,-87.89004,]
[,36.86632,-83.194,]
[,33.94817,-80.37479,]
[,35.66291,-101.39864,]
[,30.47661,-90.08576,]
[,38.96524063,-92.33925536,]
[,37.27539,-79.88267,]
[,35.63832,-88.8229,]
[,39.81712,-76.99401,]
[,33.94062,-97.13221,]
[,37.73203,-84.27189,]
[,34.16013,-89.62893,]
[,35.8822,-83.78587,]
[,33.35545,-93.57891,]
[,39.29621,-80.77816,]
[,31.62911,-97.24065,]
[,35.34728,-97.49895,]
[,41.79592,-80.94423,]
[,34.48677,-85.34369,]
[,35.87368,-96.06062,]
[,36.99539,-91.01508,]
[,36.70765,-77.53385,]
[,40.08983,-79.76085,]
[,33.82185,-86.9164,]
[,35.94378,-83.20787,]
[,34.63547,-79.70062,]
[,44.57667,-91.65429,]
[,38.24666858,-77.5156506,]
[,33.2365,-95.89627,]
[,36.51592,-76.16962,]
[,32.02329,-93.33936,]
[,32.25319,-90.22428,]
[,38.31797,-75.21304,]
[,33.74329,-85.28209,]
[,36.6466,-87.1978,]
[,36.37075,-80.18216,]
[,37.09653,-80.6917,]
[,29.46427,-98.54381,]
[,32.9526,-80.16756,]
[,33.24458,-81.3733,]
[,36.1762,-85.4813,]
[,36.14788,-95.85626,]
[,39.56393,-84.28384,]
[,37.9931,-92.09232,]
[,42.80636,-102.20319,]
[,42.54986,-99.84658,]
[,41.57084,-90.5714,]
[,33.578,-96.17911,]
[,33.36473,-92.72486,]
[,35.05387,-93.38426,]
[,41.52641,-93.60162,]
[,31.86072,-103.08386,]
[,32.59008,-96.94171,]
[,28.46366,-98.18134,]
[,35.07237,-98.24358,]
[,36.09661,-79.26636,]
[,28.56977,-81.23186,]
[,29.15168,-98.88992,]
[,37.23053,-93.27805,]
[,34.00407,-90.04893,]
[,39.14655,-92.68403,]
[,39.24928,-81.59505,]
[,35.27572,-94.47754,]
[,42.24207,-88.59185,]
[,27.76196,-98.22883,]
[,29.91467,-96.86286,]
[,30.3602,-103.65263,]
[,26.19275053,-97.69540102,]
[,35.84528,-90.70412,]
[,31.32567,-95.43792,]
[,30.23597,-92.26877,]
[,41.97938,-78.6173,]
[,37.0484,-80.76012,]
[,36.38856,-85.30612,]
[,32.77065,-89.09415,]
[,36.63997,-85.78667,]
[,41.08502,-82.39684,]
[,40.65783,-84.94926,]
[,40.48781,-85.59544,]
[,38.84271,-86.99103,]
[,38.2408,-93.36497,]
[,36.28321,-92.49542,]
[,36.41563,-96.39401,]
[,35.25128,-95.11491,]
[,32.47743,-96.98291,]
[,41.30419,-82.95419,]
[,31.6848,-96.47122,]
[,30.53328,-87.27157,]
[,36.14751,-83.43843,]
[,33.81499,-98.18496,]
[,35.79871,-95.23919,]
[,42.37605,-89.8252,]
[,35.40522,-94.51229,]
[,39.79979949,-88.28740333,]
[,26.27519,-80.10952,]
[,35.40461,-94.58331,]
[,41.62265,-87.59112,]
[,32.90348,-96.03728,]
[,39.33508,-82.05357,]
[,45.91364,-89.23638,]
[,32.63459,-96.45969,]
[,26.19260792,-98.17152726,]
[,35.29193,-93.72108,]
[,33.15393,-85.36792,]
[,27.88275,-98.60654,]
[,39.95226,-76.71175,]
[,40.25514,-103.63274,]
[,35.91861,-88.72633,]
[,40.63792,-81.44161,]
[,35.31641,-82.597,]
[,36.36702,-93.5687,]
[,34.97885,-79.22238,]
[,32.57496,-83.62563,]
[,35.01521,-81.24805,]
[,40.46161,-79.84101,]
[,26.19062,-98.1206,]
[,41.10992,-98.01257,]
[,32.65205,-83.75612,]
[,31.5253,-81.43209,]
[,41.15107,-95.9175,]
[,37.25142,-83.85131,]
[,42.40007,-96.35145,]
[,35.33431,-78.03468,]
[,42.58632,-78.94125,]
[,38.93423,-94.54129,]
[,35.63066,-80.44701,]
[,31.29269,-85.11053,]
[,38.13214,-79.06297,]
[,34.8575,-114.60509,]
[,39.2519,-84.79308,]
[,37.57778,-84.7898,]
[,44.40647,-88.73986,]
[,34.55493,-77.9147,]
[,32.08272,-89.77538,]
[,32.43718,-86.47609,]
[,36.44102,-78.5744,]
[,34.24732,-89.01778,]
[,32.27646,-93.82053,]
[,30.70897,-91.1446,]
[,32.92166,-84.33382,]
[,36.76608,-91.38313,]
[,32.68643,-92.05883,]
[,32.34303,-90.82845,]
[,38.27974,-91.72513,]
[,37.84159,-88.62949,]
[,32.73911,-89.53743,]
[,31.4127,-89.55694,]
[,30.89852,-88.03826,]
[,32.2985,-89.99553,]
[,32.17257,-88.83085,]
[,36.25525,-90.97389,]
[,35.90776,-90.80196,]
[,35.08355743,-92.21037628,]
[,35.29028,-91.35472,]
[,34.85052,-87.39616,]
[,33.00967,-80.13088,]
[,36.01819,-83.42448,]
[,36.40958,-82.62039,]
[,31.2691,-90.47176,]
[,28.18555,-80.59283,]
[,29.87471,-95.30074,]
[,37.44383,-77.58104,]
[,29.66471,-91.11573,]
[,36.44924,-77.56022,]
[,37.30323,-89.97829,]
[,38.60078,-91.23445,]
[,30.78852,-85.6913,]
[,32.46027,-91.76054,]
[,40.61905,-89.60213,]
[,34.41363391,-80.34740476,]
[,31.41439,-92.48182,]
[,40.22305,-84.46496,]
[,40.92867,-100.16126,]
[,36.22862,-84.15381,]
[,33.77148,-89.79134,]
[,35.48524,-86.46076,]
[,40.28664,-79.38485,]
[,38.53437,-90.28624,]
[,36.35651,-86.71353,]
[,41.21819,-98.45151,]
[,35.48626,-86.4371,]
[,34.89862,-77.2318,]
[,33.90411,-81.14327,]
[,33.65311,-86.81169,]
[,33.709,-87.47029,]
[,37.68281,-86.869,]
[,40.969,-80.56434,]
[,37.14007,-83.77197,]
[,34.17469,-84.78864,]
[,40.99465,-76.45177,]
[,31.95736,-90.98589,]
[,32.88198,-96.85634,]
[,30.48143,-92.7048,]
[,31.92656,-106.40727,]
[,32.21924,-82.41217,]
[,36.39976,-86.16336,]
[,31.79542,-106.55771,]
[,35.68071,-101.39308,]
[,33.23948,-84.24632,]
[,34.64626441,-86.56700622,]
[,39.84146,-88.95561,]
[,32.38899,-94.87298,]
[,34.31575,-93.17052,]
[,32.29657,-87.79958,]
[,27.59411,-99.51331,]
[,31.68058,-88.64563,]
[,33.85293,-96.50841,]
[,39.4186,-86.4297,]
[,40.74203,-92.86808,]
[,40.26872,-94.02775,]
[,42.76061,-95.55131,]
