latitude,longitude,altitude,geometry,City,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017
33.749,-84.388,,Point,Atlanta,224,270,299,325,349,372,398,422,425,446
42.3601,-71.0589,,Point,Boston,30,30,75,77,81,82,90,94,97,97
41.8781,-87.6298,,Point,Chicago,269,311,331,351,371,386,408,423,425,438
32.7767,-96.797,,Point,Dallas,346,363,393,417,426,444,464,485,504,516
39.7392,-104.9903,,Point,Denver,62,64,74,77,90,94,97,89,88,86
42.3314,-83.0458,,Point,Detroit,163,193,227,251,274,299,311,313,311,325
29.7604,-95.3698,,Point,Houston,266,276,302,329,354,372,387,394,411,435
34.0522,-118.2437,,Point,Los Angeles,23,40,55,69,87,106,125,146,164,168
25.7617,-80.1918,,Point,Miami,104,121,142,169,187,208,223,240,251,262
44.9778,-93.265,,Point,Minneapolis,20,36,67,73,79,89,96,101,93,95
40.7128,-74.006,,Point,New York,145,174,216,245,286,321,345,366,364,396
39.9526,-75.1652,,Point,Philadelphia,132,178,200,225,247,257,271,284,294,315
33.4484,-112.074,,Point,Phoenix,51,95,105,110,116,126,134,143,150,166
33.9806,-117.3755,,Point,Riverside,21,31,39,47,69,89,118,128,133,135
32.7157,-117.1611,,Point,San Diego,11,15,16,18,21,29,32,38,39,39
37.7749,-122.4194,,Point,San Francisco,14,21,24,31,33,36,41,42,45,46
47.6062,-122.3321,,Point,Seattle,15,21,25,33,35,37,39,41,49,53
38.627,-90.1994,,Point,St Louis,124,132,154,161,176,198,210,214,221,231
27.9506,-82.4572,,Point,Tampa,122,139,155,166,195,211,229,234,238,239
38.9072,-77.0369,,Point,Washington DC,59,80,92,103,109,115,121,129,128,133
30.2672,-97.7431,,Point,Austin,51,55,64,73,74,80,81,78,80,87
39.2904,-76.6122,,Point,Baltimore,73,80,94,101,107,118,119,122,124,136
33.5186,-86.8104,,Point,Birmingham,84,87,100,109,117,130,134,136,139,146
41.1792,-73.1894,,Point,Bridgeport,1,2,7,7,7,9,10,10,9,9
42.8864,-78.8784,,Point,Buffalo,45,74,90,96,103,109,111,113,114,118
39.1031,-84.512,,Point,Cincinnati,93,121,125,138,143,152,161,170,169,178
41.4993,-81.6944,,Point,Cleveland,97,107,116,124,129,146,161,167,168,177
41.5868,-93.625,,Point,Des Moines,15,22,22,22,28,32,33,35,38,39
41.7658,-72.6734,,Point,Hartford,8,10,12,15,15,17,26,28,30,33
39.0997,-94.5786,,Point,Kansas City,59,95,101,105,118,127,138,146,155,162
35.9606,-83.9207,,Point,Knoxville,36,57,57,59,61,68,72,79,86,94
36.1699,-115.1398,,Point,Las Vegas,11,35,36,39,39,44,46,44,51,58
38.2527,-85.7585,,Point,Louisville,46,85,96,102,107,116,121,125,131,137
35.1495,-90.049,,Point,Memphis,79,115,129,138,161,173,182,184,191,194
36.1627,-86.7816,,Point,Nashville,90,114,126,134,148,159,172,178,191,199
35.4676,-97.5164,,Point,Oklahoma City,66,110,115,121,123,127,133,136,140,144
41.2565,-95.9345,,Point,Omaha,18,33,38,34,35,38,40,42,45,47
40.4406,-79.9959,,Point,Pittsburgh,93,164,172,184,190,200,209,216,229,243
41.824,-71.4128,,Point,Providence,10,47,50,59,64,66,69,74,73,78
43.1566,-77.6088,,Point,Rochester,54,58,64,67,73,76,82,84,81,81
40.7608,-111.891,,Point,Salt Lake City,3,18,19,21,28,31,36,34,34,35
29.4241,-98.4936,,Point,San Antonio,84,122,130,141,145,162,170,178,185,190
32.2226,-110.9747,,Point,Tucson,8,34,37,42,45,50,55,58,57,57
37.6872,-97.3301,,Point,Wichita,26,37,40,46,54,57,59,57,58,60
42.2626,-71.8023,,Point,Worchester,3,18,20,22,26,28,36,40,41,44
