OBJECTID *,Shape *,Num_Class1Parcels_in_Buffer,Class of Property,NAME,CTY,lat,lon,MAP,ON_GOOGLE,IN_GNIS,IN_FOCHS,NOTES,ON_TOPO22,GOOD_EX,geometry_coordinates
1,Polygon,0,<Null>,Jefferson Junction,Jefferson,43.036947,-88.790104,Jefferson,N,Y,N,<Null>,Y,Y,"-88.7901045,43.0369474,1567112"
2,Polygon,0,<Null>,Lake Lawn,Walworth,42.625848,-88.594268,Elkhorn,N,Y,N,<Null>,Y,<Null>,"-88.5942681,42.6258485,1567740"
3,Polygon,0,<Null>,Winnebago Mission,Jackson,44.346073,-90.754863,Black River Falls,N,Y,N,<Null>,Y,<Null>,"-90.7548628,44.3460728,1576873"
4,Polygon,0,<Null>,Anton,Douglas,46.619108,-92.235471,Borea,N,Y,N,<Null>,Y,YYY,"-92.2354712,46.6191082,1577493"
5,Polygon,0,<Null>,Ballou,Ashland,46.31745,-90.584626,Mount Whittlesey,Y,Y,N,<Null>,Y,Y,"-90.5846265,46.3174504,1577501"
6,Polygon,0,<Null>,Bardwell,Walworth,42.586959,-88.750661,Clinton,N,Y,N,<Null>,Y,YY,"-88.7506606,42.5869591,1577504"
7,Polygon,0,<Null>,Birch,Ashland,46.53828,-90.575461,Cedar,Y,Y,N,<Null>,Y,YYY,"-90.575461,46.5382796,1577516"
8,Polygon,0,<Null>,Boydtown,Crawford,43.11054,-90.803738,Wauzeka East,Y,Y,N,<Null>,Y,<Null>,"-90.8037381,43.1105396,1577523"
9,Polygon,0,<Null>,Carnegie,Douglas,46.633274,-92.192693,West Duluth,N,Y,N,<Null>,Y,<Null>,"-92.1926926,46.6332745,1577536"
10,Polygon,0,<Null>,Carter,Iron,46.228837,-90.130447,Lake of the Falls,N,Y,N,<Null>,Y,YY,"-90.1304471,46.2288375,1577537"
11,Polygon,0,<Null>,Dexter,Fond du Lac,43.842487,-88.487887,Fond du Lac,Y,Y,N,<Null>,Y,YYYY,"-88.4878875,43.8424873,1577571"
12,Polygon,0,<Null>,Eadsville,Clark,45.00969,-90.861248,Bellinger,N,Y,N,<Null>,Y,YYY,"-90.8612475,45.0096901,1577581"
13,Polygon,0,<Null>,East Winona,Buffalo,44.047741,-91.595148,Winona East,N,Y,N,<Null>,Y,<Null>,"-91.5951476,44.0477409,1577584"
14,Polygon,0,<Null>,Elmo,Grant,42.642775,-90.435962,Platteville,N,Y,N,<Null>,Y,Y,"-90.4359615,42.6427755,1577587"
15,Polygon,0,<Null>,Hamilton,Fond du Lac,43.697491,-88.458716,Byron,N,Y,N,<Null>,Y,<Null>,"-88.4587159,43.6974906,1577625"
16,Polygon,0,<Null>,Hay Stack Corner,Sawyer,45.648576,-90.875706,Ingram NW,N,Y,N,<Null>,No,<Null>,"-90.8757063,45.6485764,1577633"
17,Polygon,0,<Null>,Ipswich,Lafayette,42.707496,-90.410406,Platteville,Y,Y,N,<Null>,Y,Y,"-90.4104061,42.7074956,1577658"
18,Polygon,0,<Null>,Kremlin,Marinette,45.650796,-87.844843,Faithorn,Y,Y,N,A mine?,Y,<Null>,"-87.8448432,45.650796,1577684"
19,Polygon,0,<Null>,Lapham Junction,Jackson,44.297462,-90.478188,Spaulding,Y,Y,N,<Null>,Y,<Null>,"-90.4781879,44.2974618,1577691"
20,Polygon,0,<Null>,Lufkin,Eau Claire,44.751072,-91.61072,Eau Claire West,Y,Y,N,<Null>,Y,YY,"-91.6107199,44.7510717,1577711"
21,Polygon,0,<Null>,Mineral Point,Green,42.711951,-89.466786,Albany,N,Y,N,<Null>,Y,YYY,"-89.4667857,42.711951,1577730"
22,Polygon,0,<Null>,Peyton,Douglas,46.650218,-92.021301,Superior,Y,Y,N,<Null>,Y,<Null>,"-92.0213014,46.6502178,1577768"
23,Polygon,0,<Null>,Pokegama,Douglas,46.646885,-92.146303,West Duluth,Y,Y,N,<Null>,Y,<Null>,"-92.146303,46.6468853,1577775"
24,Polygon,0,<Null>,Raymore,Monroe,43.997465,-90.6193,Tomah,N,Y,N,<Null>,Y,<Null>,"-90.6193002,43.997465,1577785"
25,Polygon,0,<Null>,Rouse,Iron,46.356338,-90.465736,Upson,N,Y,N,<Null>,Y,<Null>,"-90.4657361,46.3563383,1577800"
26,Polygon,0,<Null>,Saunders,Douglas,46.638552,-92.10908,Superior,Y,Y,N,<Null>,Y,<Null>,"-92.1090804,46.6385517,1577813"
27,Polygon,0,<Null>,Scotts Junction,Monroe,43.964688,-90.6693,City Rock,N,Y,N,<Null>,Y,YYY,"-90.6693003,43.964688,1577817"
28,Polygon,0,<Null>,Sedgwick,Ashland,46.466893,-90.605462,Gurney,N,Y,N,<Null>,Y,YY,"-90.6054617,46.4668925,1577818"
29,Polygon,0,<Null>,Snells,Winnebago,44.141652,-88.490666,Neenah,N,Y,N,<Null>,Y,<Null>,"-88.4906663,44.1416521,1577827"
30,Polygon,0,<Null>,Speck Oaks,Jackson,44.300239,-90.57069,Hatfield SE,N,Y,N,<Null>,Y,YY,"-90.5706899,44.3002394,1577832"
31,Polygon,0,<Null>,Trevino,Buffalo,44.428578,-92.067947,Wabasha North,Y,Y,N,<Null>,Y,<Null>,"-92.0679469,44.4285783,1577856"
32,Polygon,0,<Null>,Tyler Forks,Iron,46.335783,-90.527681,Mount Whittlesey,N,Y,N,<Null>,Y,Y,"-90.5276815,46.3357833,1577863"
33,Polygon,0,<Null>,Waterbury,Jackson,44.38524,-90.59847,Hatfield NE,N,Y,N,<Null>,Y,Y,"-90.5984696,44.3852396,1577872"
34,Polygon,0,<Null>,Weedens,Sheboygan,43.687774,-87.772032,Sheboygan Falls,N,Y,N,<Null>,Y,<Null>,"-87.7720316,43.6877736,1577873"
35,Polygon,0,<Null>,Yellowstone,Lafayette,42.798334,-89.970402,Yellowstone Lake,Y,Y,N,<Null>,Y,<Null>,"-89.9704023,42.7983343,1577897"
36,Polygon,0,<Null>,Savoy (historical),Buffalo,44.523578,-92.041003,Ella,N,Y,N,<Null>,not sure,<Null>,"-92.041003,44.5235785,1578207"
37,Polygon,0,<Null>,Old Tyrone (historical),Dunn,44.713852,-91.84267,Meridean,N,Y,N,<Null>,not sure,<Null>,"-91.8426699,44.7138517,1578253"
38,Polygon,0,<Null>,Truax,Eau Claire,44.849127,-91.56933,Eau Claire West,Y,Y,N,<Null>,Y,YY,"-91.5693303,44.8491272,1578444"
39,Polygon,0,<Null>,Bonneval,Forest,45.650517,-88.538728,Lake Gordon,Y,Y,N,<Null>,Y,YY,"-88.538728,45.6505171,1578832"
40,Polygon,0,<Null>,Laona Junction,Forest,45.656074,-88.694003,Newald,N,Y,N,<Null>,Y,Y,"-88.6940028,45.6560737,1579630"
41,Polygon,0,<Null>,Lake Owen,Bayfield,46.268008,-91.258521,Drummond,Y,Y,N,<Null>,NO,<Null>,"-91.2585208,46.2680078,1581577"
42,Polygon,0,<Null>,Perote (historical),Menominee,45.091083,-88.812885,Perote Lake,N,Y,N,<Null>,<Null>,not sure,"-88.812885,45.0910832,1831785"
43,Polygon,0,<Null>,Harmon (historical),Washburn,46.067724,-91.668236,Stanberry West,N,Y,N,<Null>,not sure,<Null>,"-91.6682361,46.0677242,1833847"
44,Polygon,0,<Null>,Lake Owen (historical),Bayfield,46.269952,-91.254076,Drummond,N,Y,N,<Null>,NO,<Null>,"-91.2540764,46.2699523,1834247"
45,Polygon,0,<Null>,Pilot Knob (historical),Adams,43.987473,-89.61818,Westfield West,N,Y,N,<Null>,N,<Null>,"-89.6181798,43.9874729,1837597"
46,Polygon,0,<Null>,Quincy (historical),Adams,43.87636,-89.956238,Dellwood,N,Y,N,<Null>,not sure,<Null>,"-89.956238,43.8763604,1837599"
47,Polygon,0,<Null>,Trow (historical),Clark,44.491629,-90.762643,Merrillan,N,Y,N,<Null>,not sure,<Null>,"-90.7626433,44.491629,1840620"
48,Polygon,0,<Null>,Kingsley Corners,Dane,43.177216,-89.496509,Waunakee,N,Y,N,<Null>,N,<Null>,"-89.4965092,43.1772155,1842488"
49,Polygon,0,<Null>,Sunset Point (historical),La Crosse,43.895798,-91.325141,Holmen,N,Y,N,<Null>,Not sure,<Null>,"-91.3251409,43.8957978,1843426"
50,Polygon,0,<Null>,Pine Knob,Crawford,43.401921,-90.837629,Readstown,N,Y,N,<Null>,N,<Null>,"-90.837629,43.4019212,1846426"
51,Polygon,0,<Null>,White Corners,Crawford,43.067483,-91.077906,Bridgeport,N,Y,N,<Null>,NO,<Null>,"-91.0779062,43.0674834,1846488"
