id,NAME,adm1_code,Obese,Low-Income Households,Car-Free Households,Diabetes,Combined Score
24,Mississippi,USA-3544,40.8,10.6,3.9,14.2,13.3
48,West Virginia,USA-3554,39.7,6.5,4.4,16.2,10.6
4,Arkansas,USA-3528,37.4,8.6,2.1,12.2,11.2
36,Oklahoma,USA-3533,36.8,8.6,2.1,12.7,11.2
42,Tennessee,USA-3551,36.5,8.4,2.6,13.1,11.1
17,Kentucky,USA-3548,36.5,5.6,3.2,12.9,9.2
1,Alabama,USA-3541,36.1,7.9,3.1,14.1,10.8
22,Michigan,USA-3562,36,6.3,2.1,11,9.3
18,Louisiana,USA-3535,35.9,9.5,3.1,13.6,11.9
40,South Carolina,USA-3545,35.3,9.1,3.5,13.4,11.6
14,Indiana,USA-3547,35.3,6.9,2.2,11.8,9.8
16,Kansas,USA-3530,35.2,8.2,1.7,10.5,10.5
35,Ohio,USA-3550,34.8,6.8,2.4,11.3,9.6
25,Missouri,USA-3531,34.8,6.8,2.2,10.4,9.5
8,Delaware,USA-3555,34.4,4.7,1.6,11.3,8
49,Wisconsin,USA-3553,34.2,4.8,1.8,8.7,7.8
34,North Dakota,USA-3516,34.1,6.9,1.2,9,9.3
27,Nebraska,USA-3532,34.1,5.6,1.1,10.1,8.4
43,Texas,USA-3536,34,8.6,1.6,11.9,10.8
33,North Carolina,USA-3549,34,6.7,2.7,11.4,9.5
15,Iowa,USA-3529,33.9,5.5,1.7,9.6,8.4
38,Pennsylvania,USA-3560,33.2,4.6,2.3,10.6,7.8
10,Georgia,USA-3543,33.1,9,2.6,11.4,11
41,South Dakota,USA-3534,33,11,1.8,11.1,12.3
20,Maryland,USA-3557,32.2,3.4,1.3,10.4,6.7
46,Virginia,USA-3552,31.9,14.8,2,10.5,14.8
29,New Hampshire,USA-3538,31.8,5,2.3,8.4,7.7
31,New Mexico,USA-3524,31.7,14,2.1,10.7,14.2
19,Maine,USA-3561,31.7,3.8,2.8,10.7,7.2
13,Illinois,USA-3546,31.6,4.4,1.3,11,7.5
3,Arizona,USA-3520,31.4,7.4,1.6,10.4,9.5
28,Nevada,USA-3523,30.6,5.3,1,10.4,7.9
2,Alaska,USA-3563,30.5,13.1,10.5,7.4,14
23,Minnesota,USA-3514,30.1,5.6,1.9,7.8,7.9
39,Rhode Island,USA-3539,30,4.7,1.5,8.9,7.3
50,Wyoming,USA-3527,29.7,8.3,8.8,8.7,10.6
12,Idaho,USA-3518,29.4,7,1.3,8.7,8.8
44,Utah,USA-3526,29.2,5.8,0.9,7.1,7.8
7,Connecticut,USA-3537,29.1,4.3,1.6,9.8,7.1
37,Oregon,USA-3525,29,5.3,1.2,9.6,7.7
26,Montana,USA-3515,28.3,8.2,1.6,7.9,9.5
47,Washington,USA-3519,28.3,5.5,1.2,9.8,7.8
32,New York,USA-3559,27.1,2.2,1.2,10.5,5.5
9,Florida,USA-3542,27,7.1,1.6,10.5,8.9
45,Vermont,USA-3540,26.6,3.3,2.8,9.3,6.2
5,California,USA-3521,26.1,3.3,0.7,10.5,6
30,New Jersey,USA-3558,25.6,3.6,1.5,11,6.3
21,Massachusetts,USA-3513,25.2,4.1,1.5,9.5,6.5
11,Hawaii,USA-3517,25,7,1.6,10.9,8.6
6,Colorado,USA-3522,23.8,5.4,1,7.4,7
